No.,nameen,ROCKTYPEid,slope-deg,IDW-5d,ls-value,latitude,longitude,STN0045,STN0075,STN0254
"670228",Tree,"2",18.16075134,55.043194,"0",18.8212318032193,98.8833068931155,5566.645812,15822.63265,8780.876229
"670230",Tree,"2",18.16075134,55.016074,"0",18.8212318392124,98.883364432837,5572.691784,15825.53757,8780.957795
"670232",Tree,"2",18.9879818,55.016074,"0",18.8212318688841,98.8834118882775,5577.678184,15827.93473,8781.028218
"670234",Tree,"2",18.9879818,54.988989,"0",18.8212319059567,98.8834712075783,5583.911222,15830.93289,8781.120253
"670235",Tree,"2",20.95103264,54.988989,"0",18.8212770951607,98.8834711764407,5584.30747,15835.32207,8776.11883
"670236",Tree,"2",21.36306,54.988989,"0",18.8212319356012,98.883518663019,5588.897684,15833.33279,8781.197085
"670237",Tree,"2",24.51631355,54.988989,"0",18.8212771248053,98.8835186318941,5589.293579,15837.7213,8776.195706
"670238",Tree,"2",21.36306,54.96194,"0",18.8212319726398,98.88357798232,5595.130801,15836.33437,8781.297131
"670239",Tree,"2",24.51631355,54.96194,"0",18.821277161844,98.883577951211,5595.526254,15840.72205,8776.29581
"670240",Tree,"2",23.27332687,54.96194,"0",18.8212320022571,98.8836254377609,5600.117325,15838.737,8781.380373
"670241",Tree,"2",27.75818634,54.96194,"0",18.8212771914614,98.8836254066646,5600.512426,15843.12402,8776.379099
"670242",Tree,"2",23.27332687,54.934927,"0",18.8212320392618,98.8836847570622,5606.350519,15841.742,8781.488431
"670243",Tree,"2",27.75818634,54.934927,"0",18.8212772284662,98.8836847259817,5606.745181,15846.12819,8776.487218
"670244",Tree,"2",23.68390274,54.934927,"0",18.8212320688519,98.8837322125033,5611.337106,15844.14737,8781.578081
"670245",Tree,"2",27.62981224,54.934927,"0",18.8212772580564,98.8837321814355,5611.731417,15848.53289,8776.576919
"670246",Tree,"2",23.68390274,54.90795,"0",18.821232099539,98.8837814475236,5616.510718,15846.64422,8781.674104
"670247",Tree,"2",27.62981224,54.90795,"0",18.8212772887435,98.8837814164689,5616.904666,15851.02905,8776.672996
"670248",Tree,"2",23.68390274,54.881009,"0",18.8212321353856,98.8838389872462,5622.557025,15849.56388,8781.790208
"670249",Tree,"2",23.68390274,54.881009,"0",18.8212321649365,98.8838864426876,5627.5437,15851.97319,8781.889114
"670250",Tree,"2",27.62981224,54.881009,"0",18.8212773245903,98.8838389562069,5622.95055,15853.94791,8776.789167
"670251",Tree,"2",26.56505203,54.881009,"0",18.8212773541413,98.883886411661,5627.936876,15856.35655,8776.88813
"670252",Tree,"2",23.68390274,54.854105,"0",18.8212322018582,98.8839457619895,5633.777082,15854.98653,8782.016752
"670253",Tree,"2",23.0354805,54.854105,"0",18.821232231382,98.8839932174311,5638.763818,15857.39857,8782.122067
"670256",Tree,"2",23.0354805,54.827237,"0",18.8212322682696,98.8840525367332,5644.997277,15860.41531,8782.257714
"670257",Tree,"2",22.31156349,54.827237,"0",18.8212322977662,98.884099992175,5649.984073,15862.83007,8782.369435
"670260",Tree,"2",22.31156349,54.800406,"0",18.82123233462,98.8841593114774,5656.217607,15865.85022,8782.513091
"670261",Tree,"2",20.24305534,54.800406,"0",18.8212323640894,98.8842067669194,5661.204464,15868.2677,8782.631219
"670264",Tree,"2",20.24305534,54.773611,"0",18.8212323946511,98.8842560019406,5666.378357,15870.77712,8782.756786
"670266",Tree,"2",20.24305534,54.746854,"0",18.8212324303514,98.8843135416642,5672.42499,15873.71145,8782.907416
"672736",Tree,"2",16.08989334,55.119436,"0",18.8211300298317,98.8831509536075,5549.37275,15804.881,8791.929919
"672739",Tree,"2",16.08989334,55.092273,"0",18.8211300669871,98.883210272872,5555.606583,15807.87265,8792.002275
"672740",Tree,"2",16.5406208,55.092273,"0",18.8211752561912,98.8832102416649,5555.994718,15812.26468,8787.000639
"672741",Tree,"2",16.45168495,55.092273,"0",18.8211300966978,98.8832577282837,5560.59368,15810.26735,8792.06336
"672742",Tree,"2",18.16075134,55.092273,"0",18.8211752859021,98.8832576970893,5560.981467,15814.65871,8787.06176
"672743",Tree,"2",16.45168495,55.065144,"0",18.82113012751,98.8833069632734,5565.767822,15812.75313,8792.129744
"672744",Tree,"2",18.16075134,55.065144,"0",18.8211753167143,98.8833069320922,5566.155247,15817.1438,8787.128182
"672745",Tree,"2",16.45168495,55.038051,"0",18.8211301635028,98.8833645029603,5571.814746,15815.65987,8792.211207
"672746",Tree,"2",18.16075134,55.038051,"0",18.8211753527072,98.8833644717944,5572.201751,15820.04973,8787.20969
"672747",Tree,"2",17.38270378,55.038051,"0",18.8211301931743,98.8834119583723,5576.80193,15818.05852,8792.281539
"672748",Tree,"2",18.9879818,55.038051,"0",18.8211753823788,98.8834119272191,5577.188589,15822.44772,8787.280063
"672749",Tree,"2",17.38270378,55.010992,"0",18.8211302302467,98.8834712776374,5583.035946,15821.05856,8792.373456
"672750",Tree,"2",18.9879818,55.010992,"0",18.8211754194513,98.8834712465001,5583.422174,15825.44692,8787.372032
"672751",Tree,"2",19.25354195,55.010992,"0",18.821130259891,98.8835187330496,5588.023189,15823.45995,8792.45019
"672752",Tree,"2",21.36306,55.010992,"0",18.8211754490957,98.883518701925,5588.409072,15827.84765,8787.44881
"672753",Tree,"2",19.25354195,54.98397,"0",18.8211302969294,98.883578052315,5594.25728,15826.46341,8792.550109
"672754",Tree,"2",21.36306,54.98397,"0",18.8211754861342,98.8835780212062,5594.642733,15830.85027,8787.548785
"672755",Tree,"2",18.7780323,54.98397,"0",18.8211303265466,98.8836255077274,5599.244583,15828.86754,8792.633244
"672756",Tree,"2",23.27332687,54.98397,"0",18.8211755157514,98.8836254766312,5599.629692,15833.25374,8787.631967
"672757",Tree,"2",18.7780323,54.956983,"0",18.821130363551,98.883684826993,5605.478747,15831.87441,8792.741163
"672758",Tree,"2",18.9879818,54.956983,"0",18.821130393141,98.8837322824056,5610.466109,15834.28128,8792.830699
